form	pos	lemma		
af	VRB(finiteness=fin,tense=past)+ADV(type=pron)	afhebben+hij
$	PC	None
Anders	ADV(type=reg)	anders
dant	CONJ(type=sub)+PD(type=pers,position=free)	dan+het
dauctor	NOU-C(number=sg)	daukter
ute	VRB(finiteness=fin,tense=past)	uiten
gaf	VRB(finiteness=fin,tense=past)	geven
$	PC	None
Die	PD(type=d-p,position=free)	die
anders	ADV(type=reg)	anders
doen	VRB(finiteness=fin,tense=pres)	doen
sy	PD(type=pers,position=free)	zij
doen	VRB(finiteness=fin,tense=pres)	doen
quaet	NOU-C(number=sg)	kwaad
$	PC	None
Hoets	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	hoeden+dat
hem	PD(type=pers,position=free)	hij
elc	PD(type=indef,position=free)	elk
dats	PD(type=d-p,position=free)+VRB(finiteness=fin,tense=pres)	dat+zijn
mijn	PD(type=poss,position=prenom)	mijn
raet	NOU-C(number=sg)	raad
$	PC	None
Dat	CONJ(type=sub)	dat
ic	PD(type=pers,position=free)	ik
dit	PD(type=d-p,subtype=oth,position=prenom)	dit
werc	NOU-C(number=sg)	werk
ierst	ADV(type=reg)	eerst
ane	VRB(finiteness=fin,tense=past)	eindigen
ginc	VRB(finiteness=fin,tense=past)	gaan
$	PC	None
Dat	PD(type=d-p,position=free)	dat
en	ADV(type=reg)	ne
dedic	VRB(finiteness=fin,tense=past)+PD(type=pers,position=free)	doen+ik
omme	ADP(type=pre)	om
gene	PD(type=indef,subtype=oth,position=prenom)	geen
dinc	NOU-C(number=sg)	ding
$	PC	None
Anders	ADV(type=reg)	anders
dan	CONJ(type=sub)	dan
dat	CONJ(type=sub)	dat
ic	PD(type=pers,position=free)	ik
niet	ADV(type=reg)	niet
en	ADV(type=reg)	ne
woude	VRB(finiteness=fin,tense=past)	willen
$	PC	None
Dat	CONJ(type=sub)	dat
dese	PD(type=d-p,subtype=oth,position=prenom)	deze
edele	AA(degree=pos,position=prenom)	edel
leringe	NOU-C(number=sg)	lering
soude	VRB(finiteness=fin,tense=past)	zullen
$	PC	None
Den	PD(type=d-p,subtype=art,position=prenom)	de
Dietscen	AA(degree=pos,position=prenom)	Diets
lieden	NOU-C(number=pl)	lieden
verholen	VRB(finiteness=pastpart)	verhelen
wesen	VRB(finiteness=inf)	wezen
$	PC	None
Die	PD(type=d-p,position=free)	die
geen	PD(type=indef,subtype=oth,position=prenom)	geen
Walsch	NOU-C(number=sg)	Waals
en	ADV(type=reg)	ne
connen	VRB(finiteness=fin,tense=pres)	kunnen
lesen	VRB(finiteness=inf)	lezen
$	PC	None
Noch	CONJ(type=coor)	noch
geen	PD(type=indef,subtype=oth,position=prenom)	geen
Walsch	NOU-C(number=sg)	Waals
en	ADV(type=reg)	ne
verstaen	VRB(finiteness=inf)	verstaan
$	PC	None
Want	CONJ(type=coor)	want
ic	PD(type=pers,position=free)	ik
hope	VRB(finiteness=fin,tense=pres)	hopen
sonder	ADP(type=pre)	zonder
waen	NOU-C(number=sg)	waan
$	PC	None
Dat	CONJ(type=sub)	dat
sy	PD(type=pers,position=free)	zij
selen	VRB(finiteness=fin,tense=pres)	zullen
daer	ADV(type=pron)	daar
omme	ADV(type=pron)	om
bedi	ADV(type=reg)	bedie
$	PC	None
Vriendelike	ADV(type=reg)	vriendelijk
bidden	VRB(finiteness=inf)	bidden
voir	ADP(type=pre)	voor
my	PD(type=pers,position=free)	ik
$	PC	None
Omme	CONJ(type=sub)	om
dat	CONJ(type=sub)	dat
ic	PD(type=pers,position=free)	ik
die	PD(type=d-p,subtype=art,position=prenom)	die
pine	NOU-C(number=sg)	pijn
bestoet	VRB(finiteness=fin,tense=pres)	bestaan
$	PC	None
Want	CONJ(type=coor)	want
die	PD(type=d-p,subtype=art,position=prenom)	die
leringe	NOU-C(number=sg)	lering
die	PD(type=d-p,position=free)	die
es	VRB(finiteness=fin,tense=pres)	zijn
goet	AA(degree=pos,position=free)	goed
$	PC	None
Beide	PD(type=indef,position=free)	beide
ter	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	ter
zielen	NOU-C(number=sg)	ziel
ende	CONJ(type=coor)	en
ten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	ten
live	NOU-C(number=sg)	lijf
$	PC	None
Die	PD(type=d-p,position=free)	die
ic	PD(type=pers,position=free)	ik
hier	ADV(type=pron)	hier
na	ADV(type=pron)	na
bescrive	VRB(finiteness=fin,tense=pres)	beschrijven
$	PC	None
Die	PD(type=d-p,subtype=art,position=prenom)	die
boec	NOU-C(number=sg)	boek
daer	ADV(type=pron)	daar
icse	PD(type=pers,position=free)+PD(type=pers,position=free)	ik+zij
ute	ADV(type=pron)	uit
trac	VRB(finiteness=fin,tense=past)	trekken
$	PC	None
Es	VRB(finiteness=fin,tense=pres)	zijn
geheten	VRB(finiteness=pastpart)	heten
die	PD(type=d-p,subtype=art,position=prenom)	die
wise	NOU-C(number=sg)	wijze
Sidrac	NOU-P	Sidrac
$	PC	None
Na	ADP(type=pre)	na
enen	PD(type=indef,subtype=art,position=prenom)	een
clerc	NOU-C(number=sg)	klerk
wijs	AA(degree=pos,position=free)	wijs
ende	CONJ(type=coor)	en
fijn	AA(degree=pos,position=free)	fijn
$	PC	None
Was	VRB(finiteness=fin,tense=past)	zijn
philosophe	NOU-C(number=sg)	filosoof
ende	CONJ(type=coor)	en
astronomijn	NOU-C(number=sg)	astronomijn
$	PC	None
Die	PD(type=d-p,position=free)	die
God	NOU-P	God
alsoe	ADV(type=reg)	alzo
hadde	VRB(finiteness=fin,tense=past)	hebben
vercoren	VRB(finiteness=pastpart)	verkiezen
$	PC	None
Dat	CONJ(type=sub)	dat
hijt	PD(type=pers,position=free)+PD(type=pers,position=free)	hij+het
al	ADV(type=reg)	al
wiste	VRB(finiteness=fin,tense=past)	wissen
te	ADV(type=reg)	te
voren	ADV(type=reg)	voren
$	PC	None
Dat	PD(type=d-p,position=free)	dat
in	ADP(type=pre)	in
de	PD(type=d-p,subtype=art,position=prenom)	de
werelt	NOU-C(number=sg)	wereld
soude	VRB(finiteness=fin,tense=past)	zullen
gevallen	NOU-C(number=pl)	geval
$	PC	None
Ende	CONJ(type=coor)	en
hoe	ADV(type=reg)	hoe
sy	PD(type=pers,position=free)	zij
inden	VRB(finiteness=inf)	innen
soude	VRB(finiteness=fin,tense=past)	zullen
met	ADP(type=pre)	met
allen	PD(type=indef,position=free)	al
$	PC	None
K	RES(type=uncl)	-
Van	ADP(type=pre)	van
firmamenten	NOU-C(number=pl)	firmament
ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
planeten	NOU-C(number=pl)	planeet
$	PC	None
Hoe	ADV(type=reg)	hoe
der	PD(type=d-p,subtype=art,position=prenom)	de
inglen	NOU-C(number=sg)	engel
coor	NOU-C(number=sg)	keur
sijn	VRB(finiteness=fin,tense=pres)	zijn
gheheten	VRB(finiteness=pastpart)	heten
$	PC	None
Dit	PD(type=d-p,position=free)	dit
was	VRB(finiteness=fin,tense=past)	zijn
hem	PD(type=pers,position=free)	hij
algader	ADV(type=reg)	algader
cont	AA(degree=pos,position=free)	kond
$	PC	None
Hout	VRB(finiteness=fin,tense=pres)	houden
voor	ADP(type=pre)	voor
eenen	PD(type=indef,subtype=art,position=prenom)	een
vont	NOU-C(number=sg)	vont
$	PC	None
Die	PD(type=d-p,position=free)	die
beter	AA(degree=comp,position=free)	goed
es	VRB(finiteness=fin,tense=pres)	zijn
menichfout	NOU-C(number=sg)	menigvout
$	PC	None
Danne	CONJ(type=sub)	dan
ghesteente	NOU-C(number=sg)	gesteente
zelver	NOU-C(number=sg)	zilver
of	CONJ(type=coor)	of
gout	NOU-C(number=sg)	goud
$	PC	None
Want	CONJ(type=coor)	want
vele	ADV(type=reg)	veel
beter	AA(degree=comp,position=free)	goed
es	VRB(finiteness=fin,tense=pres)	zijn
wijshede	NOU-C(number=sg)	wijsheid
$	PC	None
Danne	ADV(type=reg)	dan
enighe	PD(type=indef,subtype=oth,position=prenom)	enig
erdsche	AA(degree=pos,position=prenom)	aards
rijchede	NOU-C(number=sg)	rijkheid
$	PC	None
Want	CONJ(type=coor)	want
dese	PD(type=d-p,subtype=oth,position=prenom)	deze
bouc	NOU-C(number=sg)	boek
hevet	VRB(finiteness=fin,tense=pres)	hebben
in	ADP(type=pre)	in
$	PC	None
Der	PD(type=d-p,subtype=art,position=prenom)	de
warelt	NOU-C(number=sg)	wereld
fundament	NOU-C(number=sg)	fundament
ende	CONJ(type=coor)	en
beghin	NOU-C(number=sg)	begin
$	PC	None
Ende	CONJ(type=coor)	en
oec	ADV(type=reg)	ook
zal	VRB(finiteness=fin,tense=pres)	zullen
hi	PD(type=pers,position=free)	hij
doen	VRB(finiteness=inf)	doen
verstaen	VRB(finiteness=inf)	verstaan
$	PC	None
Hoet	ADV(type=reg)+PD(type=pers,position=free)	hoe+het
metten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	met+de
achtersten	NOU-C(number=sg)	achterste
zal	VRB(finiteness=fin,tense=pres)	zullen
gaen	VRB(finiteness=inf)	gaan
$	PC	None
Daer	ADV(type=reg)	daar
de	PD(type=d-p,subtype=art,position=prenom)	de
warelt	NOU-C(number=sg)	wereld
zal	VRB(finiteness=fin,tense=pres)	zullen
nemen	VRB(finiteness=inf)	nemen
fijn	AA(degree=pos,position=free)	fijn
