form	pos	lemma
tederste	AA(degree=sup,position=prenom)	teder
lede	NOU-C(number=pl)	lid
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
lichame	NOU-C(number=sg)	lichaam
ende	CONJ(type=coor)	en
sy	PD(type=pers,position=free)	zij
sijn	VRB(finiteness=fin,tense=pres)	zijn
die	PD(type=d-p,position=free)	die
geleiden	VRB(finiteness=fin,tense=pres)	geleiden
den	PD(type=d-p,subtype=art,position=prenom)	de
lichame	NOU-C(number=sg)	lichaam
in	ADP(type=pre)	in
sekerheden	NOU-C(number=pl)	zekerheid
ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
messciene	NOU-C(number=sg)	misschien
$	PC	None
Die	PD(type=d-p,subtype=art,position=prenom)	die
coninc	NOU-C(number=sg)	koning
vraecht	VRB(finiteness=fin,tense=pres)	vragen
Welc	PD(type=w-p,position=free)	welk
es	VRB(finiteness=fin,tense=pres)	zijn
de	PD(type=d-p,subtype=art,position=prenom)	de
sekerste	AA(degree=sup,position=prenom)	zeker
ende	CONJ(type=coor)	en
die	PD(type=d-p,subtype=art,position=prenom)	die
sorgelijcste	AA(degree=sup,position=prenom)	zorgelijk
const	NOU-C(number=sg)	kunst
die	PD(type=d-p,position=free)	die
es	VRB(finiteness=fin,tense=pres)	zijn
$	PC	None
Sidrac	NOU-P	Sidrac
antwort	VRB(finiteness=fin,tense=pres)	antwoorden
Die	PD(type=d-p,position=free)	die
ghene	PD(type=d-p,position=free)	gene
die	PD(type=d-p,position=free)	die
doget	VRB(finiteness=fin,tense=pres)	doen
ende	CONJ(type=coor)	en
tgelove	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	het+geloof
Goids	NOU-P	God
wisen	VRB(finiteness=fin,tense=pres)	wijzen
ende	CONJ(type=coor)	en
leren	VRB(finiteness=fin,tense=pres)	leren
den	PD(type=d-p,subtype=art,position=prenom)	de
lieden	NOU-C(number=pl)	lieden
sy	PD(type=pers,position=free)	zij
hebben	VRB(finiteness=fin,tense=pres)	hebben
de	PD(type=d-p,subtype=art,position=prenom)	de
beste	AA(degree=sup,position=prenom)	goed
ende	CONJ(type=coor)	en
die	PD(type=d-p,subtype=art,position=prenom)	die
edelste	AA(degree=sup,position=prenom)	edel
conste	NOU-C(number=sg)	kunst
die	PD(type=d-p,position=free)	die
es	VRB(finiteness=fin,tense=pres)	zijn
ende	CONJ(type=coor)	en
oec	ADV(type=reg)	ook
de	PD(type=d-p,subtype=art,position=prenom)	de
sorgelijcste	AA(degree=sup,position=prenom)	zorgelijk
boven	ADP(type=pre)	boven
alle	PD(type=indef,position=free)	al
dandere	PD(type=d-p,subtype=art,position=prenom)+NUM(type=ord,position=free,representation=let)	de+ander
consten	NOU-C(number=pl)	kunst
in	ADP(type=pre)	in
die	PD(type=d-p,subtype=art,position=prenom)	die
werelt	NOU-C(number=sg)	wereld
Alsoe	ADV(type=reg)	alzo
die	PD(type=d-p,subtype=art,position=prenom)	die
lichame	AA(degree=pos,position=prenom)	lichaam
seker	AA(degree=pos,position=free)	zeker
gaet	VRB(finiteness=fin,tense=pres)	gaan
by	ADP(type=pre)	bij
den	PD(type=d-p,subtype=art,position=prenom)	de
wisene	NOU-C(number=sg)	wijzend
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
ogen	NOU-C(number=pl)	oog
alsoe	ADV(type=reg)	alzo
selen	VRB(finiteness=fin,tense=pres)	zullen
die	PD(type=d-p,subtype=art,position=prenom)	die
clergie	NOU-C(number=sg)	clergie
ende	CONJ(type=coor)	en
die	PD(type=d-p,subtype=art,position=prenom)	die
conste	NOU-C(number=sg)	kunst
hebben	VRB(finiteness=inf)	hebben
leiden	VRB(finiteness=inf)	leiden
dandere	PD(type=d-p,subtype=art,position=prenom)+NUM(type=ord,position=free,representation=let)	de+ander
liede	NOU-C(number=pl)	lieden
zeker	AA(degree=pos,position=free)	zeker
ende	CONJ(type=coor)	en
onthouden	VRB(finiteness=inf)	onthouden
ten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	ten
gelove	NOU-C(number=sg)	geloof
ende	CONJ(type=coor)	en
ten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	ten
geboden	NOU-C(number=pl)	gebod
Gods	NOU-P	God
ende	CONJ(type=coor)	en
selen	VRB(finiteness=fin,tense=pres)	zullen
oec	ADV(type=reg)	ook
doen	VRB(finiteness=inf)	doen
dat	CONJ(type=sub)	dat
sy	PD(type=pers,position=free)	zij
sculdich	AA(degree=pos,position=free)	schuldig
sijn	VRB(finiteness=fin,tense=pres)	zijn
te	ADP(type=pre)	te
doene	VRB(finiteness=inf)	doen
volcomelijc	AA(degree=pos,position=free)	volkomenlijk
sonder	ADP(type=pre)	zonder
enich	PD(type=indef,subtype=oth,position=prenom)	enig
gebreken	NOU-C(number=sg)	gebrek
in	ADP(type=pre)	in
allen	PD(type=indef,subtype=oth,position=prenom)	al
uren	NOU-C(number=pl)	uur
ende	CONJ(type=coor)	en
die	PD(type=d-p,position=free)	die
ghene	PD(type=d-p,position=free)	gene
die	PD(type=d-p,position=free)	die
dit	PD(type=d-p,position=free)	dit
doen	VRB(finiteness=fin,tense=pres)	doen
sijn	VRB(finiteness=fin,tense=pres)	zijn
weert	AA(degree=pos,position=free)	waard
ende	CONJ(type=coor)	en
reyne	AA(degree=pos,position=free)	rein
voir	ADP(type=pre)	voor
Gode	NOU-P	God
Ende	CONJ(type=coor)	en
alsoe	ADV(type=reg)	alzo
clare	AA(degree=pos,position=free)	klaar
alse	CONJ(type=sub)	als
die	PD(type=d-p,subtype=art,position=prenom)	die
sonne	NOU-C(number=sg)	zon
es	VRB(finiteness=fin,tense=pres)	zijn
in	ADP(type=pre)	in
eerterike	NOU-C(number=sg)	aardrijk
die	PD(type=d-p,position=free)	die
hare	PD(type=poss,position=prenom)	haar
claerheit	NOU-C(number=sg)	klaarheid
spaert	VRB(finiteness=fin,tense=pres)	sparen
onder	ADP(type=pre)	onder
die	PD(type=d-p,subtype=art,position=prenom)	die
goede	AA(degree=pos,position=prenom)	goed
ende	CONJ(type=coor)	en
die	PD(type=d-p,subtype=art,position=prenom)	die
quade	NOU-C(number=sg)	kwaad
ende	CONJ(type=coor)	en
hare	PD(type=pers,position=free)	haar
nochtan	ADV(type=reg)	nochtan
gheen	PD(type=indef,subtype=oth,position=prenom)	geen
quaet	NOU-C(number=sg)	kwaad
en	ADV(type=reg)	ne
gereinen	VRB(finiteness=inf)	gereinen
mach	VRB(finiteness=fin,tense=pres)	mogen
aldus	ADV(type=reg)	aldus
es	VRB(finiteness=fin,tense=pres)	zijn
dese	PD(type=d-p,subtype=oth,position=prenom)	deze
conste	NOU-C(number=sg)	kunst
boven	ADP(type=pre)	boven
alle	PD(type=indef,position=free)	al
dandere	PD(type=d-p,subtype=art,position=prenom)+NUM(type=ord,position=free,representation=let)	de+ander
conste	NOU-C(number=sg)	kunst
meester	NOU-C(number=sg)	meester
ende	CONJ(type=coor)	en
here	NOU-C(number=sg)	heer
in	ADP(type=pre)	in
eerterike	NOU-C(number=sg)	aardrijk
Ende	CONJ(type=coor)	en
alle	PD(type=indef,subtype=oth,position=prenom)	al
consten	NOU-C(number=pl)	kunst
van	ADP(type=pre)	van
al	ADV(type=reg)	al
eerterike	NOU-C(number=sg)	aardrijk
es	VRB(finiteness=fin,tense=pres)	zijn
men	PD(type=pers,position=free)	men
sculdich	AA(degree=pos,position=free)	schuldig
te	ADP(type=pre)	te
leidene	VRB(finiteness=inf)	leiden
int	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+het
beste	NOU-C(number=sg)	best
ende	CONJ(type=coor)	en
die	PD(type=d-p,position=free)	die
ghene	PD(type=d-p,position=free)	gene
die	PD(type=d-p,position=free)	die
hebben	VRB(finiteness=fin,tense=pres)	hebben
dese	PD(type=d-p,subtype=oth,position=prenom)	deze
conste	NOU-C(number=sg)	kunst
ende	CONJ(type=coor)	en
useren	VRB(finiteness=fin,tense=pres)	useren
ende	CONJ(type=coor)	en
niet	ADV(type=reg)	niet
en	ADV(type=reg)	ne
doen	VRB(finiteness=fin,tense=pres)	doen
alsi	CONJ(type=sub)+PD(type=pers,position=free)	alse+zij
souden	VRB(finiteness=fin,tense=past)	zullen
keren	VRB(finiteness=inf)	keren
andere	PD(type=indef,subtype=oth,position=prenom)	ander
liede	NOU-C(number=pl)	lieden
te	ADP(type=pre)	te
Gode	NOU-P	God
ende	CONJ(type=coor)	en
hem	PD(type=refl,position=free)	hij
selven	PD(type=d-p,position=free)	zelf
van	ADP(type=pre)	van
Gode	NOU-P	God
alse	CONJ(type=sub)	als
die	PD(type=d-p,subtype=art,position=prenom)	die
kerse	NOU-C(number=sg)	kaars
die	PD(type=d-p,position=free)	die
gheeft	VRB(finiteness=fin,tense=pres)	geven
anderen	PD(type=indef,subtype=oth,position=prenom)	ander
lieden	NOU-C(number=pl)	lieden
hare	PD(type=poss,position=prenom)	haar
claerheit	NOU-C(number=sg)	klaarheid
ende	CONJ(type=coor)	en
hare	PD(type=refl,position=free)	haar
selven	PD(type=d-p,position=free)	zelf
verteert	VRB(finiteness=fin,tense=pres)	verteren
$	PC	None
Die	PD(type=d-p,subtype=art,position=prenom)	die
coninc	NOU-C(number=sg)	koning
vraecht	VRB(finiteness=fin,tense=pres)	vragen
Hoe	ADV(type=reg)	hoe
comt	VRB(finiteness=fin,tense=pres)	komen
dat	CONJ(type=sub)	dat
de	PD(type=d-p,subtype=art,position=prenom)	de
mensche	NOU-C(number=sg)	mens
beruert	VRB(finiteness=pastpart)	beroeren
wert	VRB(finiteness=fin,tense=pres)	worden
selc	ADV(type=reg)	zelk
stont	ADV(type=reg)	stond
met	ADP(type=pre)	met
bliscapen	NOU-C(number=pl)	blijdschap
van	ADP(type=pre)	van
herten	NOU-C(number=sg)	hert
ende	CONJ(type=coor)	en
wert	VRB(finiteness=fin,tense=pres)	worden
blide	AA(degree=pos,position=free)	blij
$	PC	None
Sidrac	NOU-P	Sidrac
antwort	VRB(finiteness=fin,tense=pres)	antwoorden
den	PD(type=d-p,subtype=art,position=prenom)	de
coninc	NOU-C(number=sg)	koning
Die	PD(type=d-p,subtype=art,position=prenom)	die
bliscap	NOU-C(number=sg)	blijdschap
die	PD(type=d-p,position=free)	die
sulcstont	ADV(type=reg)	zulkstond
ruert	VRB(finiteness=fin,tense=pres)	roeren
inden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
lichame	NOU-C(number=sg)	lichaam
ende	CONJ(type=coor)	en
maect	VRB(finiteness=fin,tense=pres)	maken
jolijs	AA(degree=pos,position=free)	jolijs
ende	CONJ(type=coor)	en
licht	AA(degree=pos,position=free)	licht
dat	PD(type=d-p,position=free)	dat
es	VRB(finiteness=fin,tense=pres)	zijn
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
ouden	AA(degree=pos,position=prenom)	oud
bloede	NOU-C(number=sg)	bloed
dat	PD(type=d-p,position=free)	dat
noch	ADV(type=reg)	nog
es	VRB(finiteness=fin,tense=pres)	zijn
inden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
mensche	NOU-C(number=sg)	mens
bleven	VRB(finiteness=pastpart)	blijven
van	ADP(type=pre)	van
sire	PD(type=poss,position=prenom)	zijn
ioncheit	NOU-C(number=sg)	jonkheid
datti	CONJ(type=sub)+PD(type=pers,position=free)	dat+gij
brachte	VRB(finiteness=fin,tense=past)	brengen
uten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	uit+dat
buke	NOU-C(number=sg)	buik
siere	PD(type=poss,position=prenom)	zijn
moeder	NOU-C(number=sg)	moeder
ende	CONJ(type=coor)	en
dat	PD(type=d-p,subtype=oth,position=prenom)	dat
bloet	NOU-C(number=sg)	bloed
sulcstont	ADV(type=reg)	zulkstond
verruert	VRB(finiteness=fin,tense=pres)	verroeren
mits	ADP(type=pre)	mits
der	PD(type=d-p,subtype=art,position=prenom)	de
verrisenessen	NOU-C(number=sg)	verrijzenis
des	PD(type=d-p,subtype=art,position=prenom)	de
quaets	NOU-C(number=sg)	kwaad
bloets	NOU-C(number=sg)	bloed
dat	PD(type=d-p,position=free)	dat
hem	PD(type=pers,position=free)	hij
verruert	VRB(finiteness=fin,tense=pres)	verroeren
in	ADP(type=pre)	in
alle	PD(type=indef,subtype=oth,position=prenom)	al
lede	NOU-C(number=pl)	lid
dat	PD(type=d-p,position=free)	dat
vergroit	VRB(finiteness=fin,tense=pres)	vergroeien
den	PD(type=d-p,subtype=art,position=prenom)	de
lichame	NOU-C(number=sg)	lichaam
ende	CONJ(type=coor)	en
therte	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	het+hart
Ende	CONJ(type=coor)	en
dan	ADV(type=reg)	dan
wert	VRB(finiteness=fin,tense=pres)	worden
de	PD(type=d-p,subtype=art,position=prenom)	de
lichame	NOU-C(number=sg)	lichaam
iolijs	AA(degree=pos,position=free)	jolijs
van	ADP(type=pre)	van
werken	NOU-C(number=pl)	werk
oft	CONJ(type=coor)	of
van	ADP(type=pre)	van
gepense	NOU-C(number=sg)	gepeins
maer	CONJ(type=coor)	maar
dese	PD(type=d-p,subtype=oth,position=prenom)	deze
bliscap	NOU-C(number=sg)	blijdschap
es	VRB(finiteness=fin,tense=pres)	zijn
herde	ADV(type=reg)	hard
sorgeleec	AA(degree=pos,position=free)	zorgelijk
want	CONJ(type=coor)	want
alse	CONJ(type=sub)	als
een	PD(type=indef,subtype=art,position=prenom)	een
man	NOU-C(number=sg)	man
selke	PD(type=d-p,subtype=oth,position=prenom)	zulk
bliscap	NOU-C(number=sg)	blijdschap
toent	VRB(finiteness=fin,tense=pres)	tonen
haestelijc	ADV(type=reg)	haastelijk
soe	ADV(type=reg)	zo
es	VRB(finiteness=fin,tense=pres)	zijn
hy	PD(type=pers,position=free)	hij
begrepen	VRB(finiteness=pastpart)	begrijpen
onder	ADP(type=pre)	onder
die	PD(type=d-p,subtype=art,position=prenom)	die
liede	NOU-C(number=pl)	lieden
van	ADP(type=pre)	van
eneger	PD(type=indef,subtype=oth,position=prenom)	enig
dwaesheiden	NOU-C(number=sg)	dwaasheid
al	CONJ(type=sub)	al
eest	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	zijn+het
datti	CONJ(type=sub)+PD(type=pers,position=free)	dat+gij
ghene	PD(type=indef,subtype=oth,position=prenom)	gene
dwaesheit	NOU-C(number=sg)	dwaasheid
en	ADV(type=reg)	ne
doet	VRB(finiteness=fin,tense=pres)	doen
Maer	CONJ(type=coor)	maar
die	PD(type=d-p,position=free)	die
dese	PD(type=d-p,subtype=oth,position=prenom)	deze
bliscap	NOU-C(number=sg)	blijdschap
draeght	VRB(finiteness=fin,tense=pres)	dragen
wiselijc	AA(degree=pos,position=free)	wijselijk
ende	CONJ(type=coor)	en
vroedelijc	ADV(type=reg)	vroedelijk
hy	PD(type=pers,position=free)	hij
souder	VRB(finiteness=fin,tense=past)+ADV(type=pron)	zullen+er
min	ADV(type=reg)	min
af	ADV(type=pron)	af
begrepen	VRB(finiteness=pastpart)	begrijpen
sijn	VRB(finiteness=inf)	zijn
al	CONJ(type=sub)	al
dadi	VRB(finiteness=fin,tense=past)+PD(type=pers,position=free)	doen+hij
rijsheit	NOU-C(number=sg)	rijsheid
daer	ADV(type=pron)	daar
by	ADV(type=pron)	bij
ende	CONJ(type=coor)	en
alse	CONJ(type=sub)	als
dan	ADV(type=reg)	dan
dit	PD(type=d-p,subtype=oth,position=prenom)	dit
oude	AA(degree=pos,position=prenom)	oud
bloet	NOU-C(number=sg)	bloed
weder	VRB(finiteness=fin,tense=pres)	wederen
stelt	VRB(finiteness=fin,tense=pres)	stellen
soe	ADV(type=reg)	zo
wert	VRB(finiteness=fin,tense=pres)	worden
die	PD(type=d-p,subtype=art,position=prenom)	die
lichame	NOU-C(number=sg)	lichaam
weder	ADV(type=reg)	weder
alsoe	CONJ(type=sub)	alzo
hy	PD(type=pers,position=free)	hij
was	VRB(finiteness=fin,tense=past)	zijn
van	ADP(type=pre)	van
daden	NOU-C(number=pl)	daad
ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
gepense	NOU-C(number=sg)	gepeins
Ende	CONJ(type=coor)	en
dbloet	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	het+bloed
wert	VRB(finiteness=fin,tense=pres)	worden
verruert	VRB(finiteness=pastpart)	verroeren
inden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
lichame	NOU-C(number=sg)	lichaam
van	ADP(type=pre)	van
te	ADV(type=reg)	te
vele	PD(type=indef,subtype=oth,position=prenom)	veel
etene	NOU-C(number=sg)	eten
ende	CONJ(type=coor)	en
drinckene	NOU-C(number=sg)	drinken
ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
alte	ADV(type=reg)+ADV(type=reg)	al+te
vele	PD(type=indef,subtype=oth,position=prenom)	veel
rasten	NOU-C(number=pl)	rast
$	PC	None
Die	PD(type=d-p,subtype=art,position=prenom)	die
coninc	NOU-C(number=sg)	koning
vraecht	VRB(finiteness=fin,tense=pres)	vragen
Hoe	ADV(type=reg)	hoe
versament	VRB(finiteness=fin,tense=pres)	verzamenen
die	PD(type=d-p,subtype=art,position=prenom)	die
natuere	NOU-C(number=sg)	natuur
smenschen	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	de+mens
alsi	CONJ(type=sub)+PD(type=pers,position=free)	alse+zij
gaet	VRB(finiteness=fin,tense=pres)	gaan
uten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	uit+dat
lichame	NOU-C(number=sg)	lichaam
ende	CONJ(type=coor)	en
wat	PD(type=w-p,position=prenom)	wat
dingen	NOU-C(number=pl)	ding
eest	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	zijn+het
$	PC	None
Sidrac	NOU-P	Sidrac
antwort	VRB(finiteness=fin,tense=pres)	antwoorden
den	PD(type=d-p,subtype=art,position=prenom)	de
coninc	NOU-C(number=sg)	koning
Sy	PD(type=pers,position=free)	zij
gaet	VRB(finiteness=fin,tense=pres)	gaan
by	ADP(type=pre)	bij
iiij	NUM(type=card,position=prenom,representation=rom)	vier
manieren	NOU-C(number=pl)	manier
ute	ADP(type=pre)	uit
allen	PD(type=indef,position=free)	al
den	PD(type=d-p,subtype=art,position=prenom)	de
leden	NOU-C(number=pl)	lid
des	PD(type=d-p,subtype=art,position=prenom)	de
menschen	NOU-C(number=sg)	mens
ende	CONJ(type=coor)	en
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
zenuwen	NOU-C(number=pl)	zenuw
ende	CONJ(type=coor)	en
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
aderen	NOU-C(number=pl)	ader
want	CONJ(type=coor)	want
sy	PD(type=pers,position=free)	zij
sweeten	VRB(finiteness=fin,tense=pres)	zweten
bloet	NOU-C(number=sg)	bloed
binnen	ADP(type=pre)	binnen
den	PD(type=d-p,subtype=art,position=prenom)	de
lichame	NOU-C(number=sg)	lichaam
vander	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
hitten	NOU-C(number=sg)	hit
ende	CONJ(type=coor)	en
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
grooten	AA(degree=pos,position=prenom)	groot
wille	NOU-C(number=sg)	wil
ende	CONJ(type=coor)	en
dat	PD(type=d-p,subtype=oth,position=prenom)	dat
bloet	NOU-C(number=sg)	bloed
wert	VRB(finiteness=fin,tense=pres)	worden
dan	ADV(type=reg)	dan
verwandelt	VRB(finiteness=pastpart)	verwandelen
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
rooden	AA(degree=pos,position=prenom)	rood
int	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+het
witte	NOU-C(number=sg)	wit
ende	CONJ(type=coor)	en
dan	ADV(type=reg)	dan
versament	VRB(finiteness=pastpart)	verzamenen
ute	ADP(type=pre)	uit
allen	PD(type=indef,position=free)	al
den	PD(type=d-p,subtype=art,position=prenom)	de
leden	NOU-C(number=pl)	lid
inde	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
cullen	NOU-C(number=sg)	kul
ende	CONJ(type=coor)	en
dair	ADV(type=reg)	daar
soe	ADV(type=reg)	zo
gaet	VRB(finiteness=fin,tense=pres)	gaan
ute	VRB(finiteness=fin,tense=pres)	uiten
ende	CONJ(type=coor)	en
dat	PD(type=d-p,position=free)	dat
es	VRB(finiteness=fin,tense=pres)	zijn
tsaet	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	dat+zaad
daer	ADV(type=pron)	daar
de	PD(type=d-p,subtype=art,position=prenom)	de
menschen	NOU-C(number=pl)	mens
af	ADV(type=pron)	af
comen	VRB(finiteness=fin,tense=pres)	komen
Dierste	AA(degree=sup,position=free)	dier
es	VRB(finiteness=fin,tense=pres)	zijn
vander	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
begeerten	NOU-C(number=sg)	begeerte
smans	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	de+man
die	PD(type=d-p,position=free)	die
hy	PD(type=pers,position=free)	hij
begeert	VRB(finiteness=fin,tense=pres)	begeren
te	ADP(type=pre)	te
doene	VRB(finiteness=inf)	doen
ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
diere	PD(type=d-p,subtype=oth,position=prenom)	die
begeerten	NOU-C(number=pl)	begeerte
ontsteken	VRB(finiteness=pastpart)	ontsteken
alle	PD(type=indef,position=free)	al
die	PD(type=d-p,subtype=art,position=prenom)	die
lede	NOU-C(number=pl)	lid
ende	CONJ(type=coor)	en
versoect	VRB(finiteness=fin,tense=pres)	verzoeken
de	PD(type=d-p,subtype=art,position=prenom)	de
natuere	NOU-C(number=sg)	natuur
in	ADP(type=pre)	in
hem	PD(type=pers,position=free)	hij
Dander	PD(type=d-p,subtype=art,position=prenom)+NUM(type=ord,position=free,representation=let)	de+ander
es	VRB(finiteness=fin,tense=pres)	zijn
de	PD(type=d-p,subtype=art,position=prenom)	de
verwarmenesse	NOU-C(number=sg)	verwarmenis
die	PD(type=d-p,position=free)	die
comt	VRB(finiteness=fin,tense=pres)	komen
inden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
selven	PD(type=d-p,subtype=oth,position=prenom)	zelf
wille	NOU-C(number=sg)	wil
Dat	PD(type=d-p,subtype=oth,position=prenom)	dat
derde	NUM(type=ord,position=prenom,representation=let)	derde
es	VRB(finiteness=fin,tense=pres)	zijn
de	PD(type=d-p,subtype=art,position=prenom)	de
cracht	NOU-C(number=sg)	kracht
smans	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	de+man
metten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	met+de
wive	NOU-C(number=sg)	wijf
Dat	PD(type=d-p,subtype=oth,position=prenom)	dat
vierde	NUM(type=ord,position=prenom,representation=let)	vierde
es	VRB(finiteness=fin,tense=pres)	zijn
de	PD(type=d-p,subtype=art,position=prenom)	de
raste	NOU-C(number=sg)	rast
nemen	VRB(finiteness=inf)	nemen
aen	ADP(type=pre)	aan
den	PD(type=d-p,subtype=art,position=prenom)	de
lichame	NOU-C(number=sg)	lichaam
ende	CONJ(type=coor)	en
in	ADP(type=pre)	in
deser	PD(type=d-p,subtype=oth,position=prenom)	deze
manieren	NOU-C(number=sg)	manier
soe	ADV(type=reg)	zo
ghevallen	VRB(finiteness=fin,tense=pres)	vallen
die	PD(type=d-p,subtype=art,position=prenom)	die
saken	NOU-C(number=pl)	zaak
den	PD(type=d-p,subtype=art,position=prenom)	de
mannen	NOU-C(number=pl)	man
ende	CONJ(type=coor)	en
den	PD(type=d-p,subtype=art,position=prenom)	de
wiven	NOU-C(number=pl)	wijf
Ende	CONJ(type=coor)	en
dat	PD(type=d-p,position=free)	dat
mach	VRB(finiteness=fin,tense=pres)	mogen
oec	ADV(type=reg)	ook
gevallen	VRB(finiteness=inf)	vallen
slapende	VRB(finiteness=prespart)	slapen
maer	CONJ(type=coor)	maar
arbeit	NOU-C(number=sg)	arbeid
des	PD(type=d-p,subtype=art,position=prenom)	de
lichamen	NOU-C(number=sg)	lichaam
ende	CONJ(type=coor)	en
onwille	NOU-C(number=sg)	onwil
ende	CONJ(type=coor)	en
vasten	VRB(finiteness=inf)	vasten
verdriven	VRB(finiteness=inf)	verdrijven
dicke	ADV(type=reg)	dik
dese	PD(type=d-p,subtype=oth,position=prenom)	deze
dingen	NOU-C(number=pl)	ding
$	PC	None
Die	PD(type=d-p,subtype=art,position=prenom)	die
coninc	NOU-C(number=sg)	koning
vraecht	VRB(finiteness=fin,tense=pres)	vragen
Hoe	ADV(type=reg)	hoe
sal	VRB(finiteness=fin,tense=pres)	zullen
de	PD(type=d-p,subtype=art,position=prenom)	de
mensche	NOU-C(number=sg)	mens
minnen	VRB(finiteness=fin,tense=pres)	minnen
sinen	PD(type=poss,position=prenom)	zijn
kinderen	NOU-C(number=pl)	kind
$	PC	None
Sidrac	NOU-P	Sidrac
antwort	VRB(finiteness=fin,tense=pres)	antwoorden
Die	PD(type=d-p,subtype=art,position=prenom)	die
kindere	NOU-C(number=pl)	kind
salmen	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	zullen+men
minnen	VRB(finiteness=inf)	minnen
ende	CONJ(type=coor)	en
niet	ADV(type=reg)	niet
sottelijc	ADV(type=reg)	zottelijk
Die	PD(type=d-p,subtype=art,position=prenom)	die
kinder	NOU-C(number=pl)	kind
sijn	VRB(finiteness=fin,tense=pres)	zijn
vruchte	NOU-C(number=sg)	vrucht
der	PD(type=d-p,subtype=art,position=prenom)	de
liede	NOU-C(number=pl)	lieden
ende	CONJ(type=coor)	en
alsulke	PD(type=d-p,subtype=oth,position=prenom)	alzulk
vruchte	NOU-C(number=sg)	vrucht
salmen	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	zullen+men
minnen	VRB(finiteness=inf)	minnen
Maer	CONJ(type=coor)	maar
al	CONJ(type=sub)	al
hevestu	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	hebben+du
dine	PD(type=poss,position=prenom)	dijn
kindere	NOU-C(number=pl)	kind
lief	NOU-C(number=sg)	lief
du	PD(type=pers,position=free)	du
en	ADV(type=reg)	ne
soutse	VRB(finiteness=fin,tense=past)+PD(type=pers,position=free)	zullen+zij
niet	ADV(type=reg)	niet
te	ADV(type=reg)	te
zere	ADV(type=reg)	zeer
minnen	VRB(finiteness=inf)	minnen
noch	CONJ(type=coor)	noch
oec	ADV(type=reg)	ook
meer	ADV(type=reg)	meer
dan	CONJ(type=sub)	dan
dy	PD(type=pers,position=free)	du
want	CONJ(type=coor)	want
dats	PD(type=d-p,position=free)+VRB(finiteness=fin,tense=pres)	dat+zijn
een	PD(type=indef,subtype=art,position=prenom)	een
dwaes	NOU-C(number=sg)	dwaas
die	PD(type=d-p,position=free)	die
enen	PD(type=indef,subtype=art,position=prenom)	een
anderen	PD(type=indef,position=free)	ander
meer	ADV(type=reg)	meer
mint	VRB(finiteness=fin,tense=pres)	minnen
dan	CONJ(type=sub)	dan
hem	PD(type=refl,position=free)	hij
selven	PD(type=d-p,position=free)	zelf
En	PD(type=indef,position=postnom)	een
gheen	PD(type=indef,subtype=oth,position=prenom)	geen
man	NOU-C(number=sg)	man
no	CONJ(type=coor)	noch
gheen	PD(type=indef,subtype=oth,position=prenom)	geen
wijf	NOU-C(number=sg)	wijf
en	ADV(type=reg)	ne
sal	VRB(finiteness=fin,tense=pres)	zullen
